iter	Passed	Remaining
0	1	124
1	2	117
2	3	108
3	4	98
4	5	97
5	6	95
6	7	93
7	8	92
8	9	91
9	9	89
10	10	88
11	11	87
12	12	86
13	13	85
14	14	84
15	15	83
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	42	55
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	52	48
52	53	47
53	55	47
54	56	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
