iter	Passed	Remaining
0	149	149298
1	151	75415
2	152	50700
3	153	38326
4	155	30963
5	157	26021
6	158	22492
7	160	19871
8	167	18459
9	169	16762
10	170	15373
11	172	14222
12	174	13245
13	176	12433
14	178	11725
15	180	11089
16	182	10535
17	183	10034
18	185	9589
19	187	9202
20	189	8850
21	193	8589
22	195	8285
23	196	7994
24	198	7722
25	199	7469
26	201	7246
27	202	7038
28	204	6842
29	206	6686
30	216	6762
31	218	6599
32	220	6448
33	221	6298
34	230	6342
35	231	6202
36	234	6092
37	235	5972
38	237	5859
39	240	5761
40	241	5655
41	243	5550
42	245	5455
43	247	5367
44	249	5284
45	250	5203
46	252	5118
47	253	5036
48	255	4957
49	257	4883
50	258	4815
51	260	4745
52	261	4678
53	263	4614
54	264	4552
55	266	4491
56	267	4431
57	269	4373
58	271	4324
59	272	4274
60	282	4345
61	284	4296
62	285	4249
63	287	4201
64	288	4155
65	290	4110
66	292	4066
67	293	4022
68	296	4000
69	298	3959
70	299	3925
71	302	3902
72	306	3886
73	307	3849
74	311	3847
75	314	3823
76	316	3788
77	326	3860
78	333	3882
79	335	3857
80	354	4020
81	358	4009
82	358	3965
83	361	3941
84	365	3937
85	367	3909
86	371	3899
87	373	3869
88	378	3869
89	402	4072
90	404	4039
91	407	4026
92	421	4108
93	424	4093
94	440	4198
95	449	4231
96	480	4468
97	481	4431
98	491	4476
99	501	4516
100	524	4667
101	535	4715
102	539	4696
103	566	4881
104	568	4845
105	570	4809
106	572	4774
107	573	4739
108	576	4709
109	581	4705
110	584	4678
111	586	4646
112	587	4612
113	589	4579
114	591	4548
115	596	4547
116	597	4512
117	599	4481
118	601	4451
119	602	4421
120	605	4397
121	606	4366
122	609	4344
123	611	4321
124	613	4294
125	617	4285
126	621	4269
127	624	4256
128	630	4259
129	634	4243
130	650	4316
131	653	4294
132	663	4325
133	665	4303
134	669	4290
135	691	4391
136	696	4384
137	702	4391
138	708	4390
139	710	4363
140	713	4345
141	714	4317
142	716	4295
143	718	4271
144	722	4261
145	724	4238
146	726	4216
147	728	4192
148	730	4170
149	732	4150
150	736	4140
151	738	4117
152	739	4096
153	741	4075
154	743	4054
155	745	4033
156	747	4013
157	750	3999
158	755	3998
159	761	3999
160	763	3976
161	765	3957
162	769	3951
163	771	3932
164	773	3913
165	775	3896
166	779	3885
167	780	3867
168	783	3852
169	785	3833
170	788	3823
171	790	3805
172	792	3788
173	794	3772
174	796	3755
175	798	3739
